"","SN_C1","SN_C2","SN_C3","SN_C4","SN_C5","SN_PD1","SN_PD2","SN_PD3","SN_PD4","SN_PD5"
"ENSG00000157343",36,18,36,41,19,22,30,17,19,30
"ENSG00000157349",661.609,287.331,328.47,500.684,271.884,496.47,251.364,396.852,465.785,319.116
"ENSG00000157350",556.668,352.743,357.615,619.627,304.82,480.801,384.046,383.724,438.222,510.235
"ENSG00000157353",637.12,435.76,466.708,635.925,385.555,707.924,351.414,439.048,563.528,504.798
"ENSG00000157368",192,147.001,188,403,170.999,179.001,128,179.999,135,158.001
"ENSG00000157379",528.801,278.861,454.411,611.915,324.113,561.791,263.242,432.905,583.469,433.71
"ENSG00000157388",624.796,356.242,453.692,673.087,387.435,683.442,211.227,438.009,586.146,584.326
"ENSG00000157399",44.999,37,48.29,61.94,27,55.935,40,40.294,35,42
"ENSG00000157404",493,673,318,1083.001,538.001,1237.999,500,693,858,859.999
"ENSG00000157426",448.999,277,354.001,514,228.001,495,213.999,393,488,523
"ENSG00000157429",125.199,83.339,110.362,159.631,76.908,126.188,72.237,95.402,149.042,130.034
"ENSG00000157445",374,164,336.001,525.999,427.001,501,147,348.001,376,234.001
"ENSG00000157450",1102.001,662,712,1214,603,1229,550,1003,1214,1038.999
"ENSG00000157456",68,1,5,8,6,4,9,16,7,4
"ENSG00000157470",216.002,159.999,228.999,322,181,255.999,79.999,241,253.999,230.999
"ENSG00000157483",1987.586,1562.737,1602.09,2441.88,1256.008,2593.365,1263.538,2223.327,2445.917,2137.471
"ENSG00000157500",2060.374,1039.238,1280.021,2085.462,914.359,1961.807,748.88,1749.63,2021.832,1907.477
"ENSG00000157502",170,92,124,239.999,141,214,46,253,236,183
"ENSG00000157510",271.001,65.118,146.994,217.426,95.993,143,183.842,186.104,217.247,248.254
"ENSG00000157514",2707.999,2970,2750,3423.001,1491,3289.999,3691.999,2952,2925,4302.999
"ENSG00000157538",1353.801,674.702,865.082,1320.734,661.326,1289.264,682.361,1093.031,1205.558,1178.665
"ENSG00000157540",1677.999,1035,1168,1992.001,985.999,1734,849,1415,1752.009,1764
"ENSG00000157542",1259.016,842.8,906.831,1313.286,588.255,490.589,357.511,677.606,523.438,612.465
"ENSG00000157551",89.883,56.644,50.908,94.229,39.122,37.975,47.192,39.847,38.942,100.011
"ENSG00000157554",533,367.999,341,481.999,203.999,318,367.001,421.001,388,526
"ENSG00000157557",2826,1803,1297,3079,881.999,2180,2058,2070,2086.001,2870
"ENSG00000157570",182,203,137,254,132,344,119.999,276.001,302.001,315.999
"ENSG00000157578",28.955,25.336,38.479,52.407,26.116,35.273,10,14.861,34.604,59.514
"ENSG00000157593",1434.001,1067,1192,1303,826,1437,440,1173.999,1340,817.999
"ENSG00000157600",717,383.001,346,769.999,290,480.999,319,416,511,480.001
"ENSG00000157601",2167.198,772.685,857.247,1896.478,1141.258,1691.685,379.207,1367.505,1147.104,721.251
"ENSG00000157613",177.208,89.359,70.061,127.359,44.822,77.817,56.12,70.661,95.444,70.874
"ENSG00000157617",1895.524,1296.157,1794.898,1894.7,864.988,1805.09,1479.894,1553.394,1905.5,2544.006
"ENSG00000157625",1006.045,506.299,550.376,1074.093,526.456,915.894,291.549,848.943,944.901,774.012
"ENSG00000157637",2009,1117.999,1382.12,1996,939,1931,1271,1487,1532.854,1362
"ENSG00000157653",17,14,21,27,22,31,6,30,25,23
"ENSG00000157654",422.812,248.898,280.608,396.366,398.262,745.184,46.08,371.371,490.818,296.404
"ENSG00000157657",349.999,219,302,425,205,455,263,454.001,355,436
"ENSG00000157680",687.001,400,396.001,744.999,532,890,208,559,664.999,529.001
"ENSG00000157693",663.795,375.084,311.164,786.117,431.457,690.309,201.066,490.553,609.199,445.661
"ENSG00000157703",7,6,12.999,18,7.999,9,3,15,13,14
"ENSG00000157734",2034.183,1645.817,1844.57,1999.791,1426.025,2349.433,630.401,1511.401,2147.813,1262.538
"ENSG00000157741",1258.162,909.938,1216.278,1946.516,862.066,1859.642,732.468,1300.041,1718.605,1877.078
